type,country_canonical,country_key,aliases,exactmatch,exclusions,who_subregion,who_region,gbd_region,Mexico,Caribbean
country,pakistan,pakistan,palistan; paskistan; karachi; pakisan,,,EMRD,Eastern Mediterranean,South Asia,,
country,Palestine,palestine,palest; west bank; palestinian; palestinian,,,EMRD,Eastern Mediterranean,North Africa and Middle East,,
country,Qatar,qatar,doha,doha,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,Saudi Arabia,saudi arabia, arabia; saudi,,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,Somalia,somalia,NA,,,EMRD,Eastern Mediterranean,Eastern Sub-Saharan Africa,,
country,Sudan,sudan,NA,,,EMRD,Eastern Mediterranean,North Africa and Middle East,,
country,Syrian Arab Republic,syrian arab republic,syria,,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,Tunisia,tunisia,NA,,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,united arab emirates,united arab emirates,dubai; dubai airport; uae; abu dhabi; emir; united arab emir; abu dhabhi; emirates,,,EMRB,Eastern Mediterranean,North Africa and Middle East,,
country,Western Sahara,western sahara,NA,,,EMRD,Eastern Mediterranean,North Africa and Middle East,,
country,Yemen,yemen,NA,,,EMRD,Eastern Mediterranean,North Africa and Middle East,,
country,Albania,albania,NA,,,EURB,Europe,Central Europe,,
country,Andorra,andorra,NA,,,EURA,Europe,Western Europe,,
country,Armenia,armenia,arminia,,,EURB,Europe,Central Asia,,
country,Austria,austria,NA,,,EURA,Europe,Western Europe,,
country,Azerbaijan,azerbaijan,NA,,,EURB,Europe,Central Asia,,
country,Belarus,belarus,NA,,,EURC,Europe,Eastern Europe,,
country,Belgium,belgium,brussels; hague; belguim,,,EURA,Europe,Western Europe,,
country,Bosnia And Herzegovina,bosnia and herzegovina,bosnia; herzegovina; bosnia and hercegovina,,,EURB,Europe,Central Europe,,
country,Bulgaria,bulgaria,bulg,bulg,,EURB,Europe,Central Europe,,
country,Croatia,croatia,,,,EURA,Europe,Central Europe,,
country,czechia,czechia,czech rep.; czech republic; czech; prague; czechoslovakia,,,EURA,Europe,Central Europe,,
country,Denmark,denmark,den,,,EURA,Europe,Western Europe,,
country,Baltics,baltics,baltic,,,EURC,Europe,Eastern Europe,,
country,Estonia,estonia,astonia,,,EURC,Europe,Eastern Europe,,
country,Finland,finland,NA,,,EURA,Europe,Western Europe,,
country,France,france,paris; frnace; leon; normandy,fr; leon,,EURA,Europe,Western Europe,,
country,Georgia,georgia,rep. of georgia; sochi,,,EURB,Europe,Central Asia,,
country,Germany,germany,berlin; frankfort; duseldorf; frankfurt; munich,,,EURA,Europe,Western Europe,,
country,Greece,greece,athens,,,EURA,Europe,Western Europe,,
country,Guernsey,guernsey,NA,,,EURA,Europe,Western Europe,,
country,Hungary,hungary,budapest; budap; hungry,,,EURC,Europe,Central Europe,,
country,Greenland,greenland,NA,,,EURA,Europe,Western Europe,,
country,Gibraltar,gibraltar,NA,,,EURA,Europe,Western Europe,,
country,Iceland,iceland,keflex,,,EURA,Europe,Western Europe,,
country,Ireland,ireland,dublin,,,EURA,Europe,Western Europe,,
country,Isle Of Man,isle of man,,,,EURA,Europe,Western Europe,,
country,Israel,israel,isareal; tel aviv; haifa; jerusalem,,,EURA,Europe,Western Europe,,
country,Italy,italy,rome; albate; florence; milan; turin; naples; sicily; salerno; venica; venice,rome,,EURA,Europe,Western Europe,,
country,Jersey,jersey,NA,,,EURA,Europe,Western Europe,,
country,kazakhstan,kazakhstan,khazakstan,,,EURC,Europe,Central Asia,,
country,Kosovo,kosovo,NA,,,EURB,Europe,Central Europe,,
country,Kyrgyzstan,kyrgyzstan,kyrzikistan,,,EURB,Europe,Central Asia,,
country,Latvia,latvia,NA,,,EURC,Europe,Eastern Europe,,
country,Liechtenstein,liechtenstein,NA,,,EURA,Europe,Western Europe,,
